78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78925;14.595333,-60.995667;3
78925;14.595333,-60.995667;3
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78925;14.595333,-60.995667;3
78922;14.7745,-60.875333;26
78922;14.7745,-60.875333;26
78897;16.264,-61.516333;11
78897;16.264,-61.516333;11
